"Name","15 Minutes","Hourly","Daily","Weekly","Monthly"
"Reliance Industries","Buy","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Reliance Industries","Neutral","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Tata Consultancy","Strong Buy","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Tata Consultancy","Strong Buy","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Bharti Airtel","Strong Sell","Strong Sell","Neutral","Strong Buy","Strong Buy"
"Bharti Airtel","Strong Sell","Strong Sell","Neutral","Strong Buy","Strong Buy"
"Bharti Airtel","Strong Sell","Strong Sell","Neutral","Strong Buy","Strong Buy"
"ICICI Bank","Strong Sell","Strong Sell","Strong Buy","Strong Buy","Strong Buy"
"ICICI Bank","Strong Sell","Strong Sell","Strong Buy","Strong Buy","Strong Buy"
"SBI","Strong Sell","Strong Sell","Neutral","Strong Buy","Strong Buy"
"SBI","Strong Sell","Strong Sell","Neutral","Strong Buy","Strong Buy"
"Infosys","Sell","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Infosys","Neutral","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"LIC India","Strong Sell","Strong Sell","Sell","Buy","Strong Buy"
"LIC India","Strong Sell","Strong Sell","Sell","Buy","Strong Buy"
"Hindustan Unilever","Strong Sell","Sell","Neutral","Strong Buy","Neutral"
"ITC","Strong Sell","Strong Sell","Sell","Strong Sell","Neutral"
"ITC","Strong Sell","Strong Sell","Sell","Sell","Neutral"
"Larsen & Toubro","Strong Buy","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Larsen & Toubro","Strong Buy","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"HCL Tech","Sell","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"HCL Tech","Sell","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Axis Bank","Strong Sell","Sell","Strong Buy","Strong Buy","Strong Buy"
"Axis Bank","Neutral","Strong Sell","Strong Buy","Strong Buy","Strong Buy"
"Tata Motors","Neutral","Sell","Strong Buy","Strong Buy","Strong Buy"
"Sun Pharma","Sell","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Adani Enterprises","Strong Sell","Strong Sell","Strong Sell","Neutral","Strong Buy"
"NTPC","Strong Buy","Neutral","Buy","Strong Buy","Strong Buy"
"Adani Enterprises","Strong Sell","Strong Sell","Strong Sell","Neutral","Strong Buy"
"NTPC","Strong Buy","Neutral","Buy","Strong Buy","Strong Buy"
"Kotak Mahindra Bank","Neutral","Strong Sell","Buy","Buy","Neutral"
"Kotak Mahindra Bank","Neutral","Strong Sell","Buy","Buy","Neutral"
"Mahindra & Mahindra","Strong Sell","Sell","Buy","Strong Buy","Strong Buy"
"Adani Ports & SEZ","Neutral","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Mahindra & Mahindra","Strong Sell","Sell","Buy","Strong Buy","Strong Buy"
"Adani Ports & SEZ","Buy","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Avenue Supermarts","Strong Buy","Strong Buy","Buy","Strong Buy","Strong Buy"
"Avenue Supermarts","Strong Buy","Strong Buy","Buy","Strong Buy","Strong Buy"
"Power Grid","Neutral","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Power Grid","Neutral","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Coal India","Strong Buy","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Coal India","Strong Buy","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Asian Paints","Strong Buy","Strong Buy","Strong Buy","Strong Buy","Neutral"
"Asian Paints","Strong Buy","Strong Buy","Strong Buy","Strong Buy","Neutral"
"Adani Green Energy","Strong Sell","Strong Sell","Strong Sell","Neutral","Strong Buy"
"Adani Green Energy","Neutral","Strong Sell","Strong Sell","Neutral","Strong Buy"
"Hindustan Zinc","Strong Sell","Strong Sell","Sell","Strong Buy","Strong Buy"
"Hindustan Zinc","Strong Sell","Strong Sell","Sell","Strong Buy","Strong Buy"
"Tata Motors DV Ltd","Neutral","Sell","Strong Buy","Strong Buy","Strong Buy"
"Tata Motors","Neutral","Sell","Strong Buy","Strong Buy","Strong Buy"
