"Name","15 Minutes","Hourly","Daily","Weekly","Monthly"
"M.R.F.","Neutral","Strong Sell","Strong Sell","Neutral","Strong Buy"
"Page Industries","Buy","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Bosch","Strong Buy","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Shree Cement","Buy","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Lakshmi Machine Works","Strong Sell","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Procter & Gamble Hygiene","Strong Buy","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Wendt India Ltd","Strong Sell","Neutral","Strong Buy","Strong Buy","Strong Buy"
"ZF Commercial Vehicle Control Systems India","Neutral","Strong Sell","Sell","Strong Buy","Strong Buy"
"TVS Holdings","Neutral","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Hitachi Energy India","Neutral","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Maruti Suzuki","Strong Buy","Neutral","Strong Sell","Neutral","Strong Buy"
"GRP Ltd","Strong Buy","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Bharat Rasayan Ltd","Sell","Strong Sell","Strong Buy","Strong Buy","Strong Buy"
"UltraTech Cement","Strong Buy","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Voltamp Transformers Ltd","Strong Sell","Strong Sell","Sell","Strong Buy","Strong Buy"
"Tasty Bite Eatables","Strong Sell","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Oracle","Strong Buy","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Solar Industries India Ltd","Strong Sell","Strong Sell","Strong Buy","Strong Buy","Strong Buy"
"Bajaj Auto","Neutral","Strong Sell","Sell","Strong Buy","Strong Buy"
"Force Motors","Strong Sell","Strong Sell","Neutral","Strong Buy","Strong Buy"
"Maharashtra Scooters","Strong Sell","Sell","Strong Buy","Strong Buy","Strong Buy"
"ABB India","Strong Buy","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Apar Industries Ltd","Strong Sell","Sell","Strong Buy","Strong Buy","Strong Buy"
"Bajaj Holdings","Strong Sell","Sell","Strong Buy","Strong Buy","Strong Buy"
"Linde India","Strong Sell","Strong Sell","Strong Sell","Strong Buy","Strong Buy"
"Blue Dart Express","Strong Buy","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Siemens Ltd","Strong Buy","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Neuland Laboratories","Neutral","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Gillette India","Strong Sell","Strong Sell","Sell","Strong Buy","Strong Buy"
"Bajaj Finance","Strong Buy","Strong Buy","Strong Buy","Strong Buy","Neutral"
"Orissa Minerals","Sell","Strong Sell","Buy","Strong Buy","Strong Buy"
"JSW Holdings","Strong Sell","Strong Sell","Buy","Strong Buy","Strong Buy"
"Polycab India","Strong Sell","Strong Sell","Buy","Strong Buy","Strong Buy"
"Inox Wind Energy","Strong Sell","Strong Sell","Strong Sell","Strong Buy","Strong Buy"
"Info Edge India","Strong Buy","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Sanofi India","Sell","Strong Sell","Strong Sell","Strong Sell","Neutral"
"SKF India","Strong Sell","Strong Sell","Buy","Strong Buy","Strong Buy"
"AstraZeneca Pharma","Strong Buy","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Atul","Sell","Strong Sell","Strong Buy","Buy","Neutral"
"Dr Reddy’s Laboratories","Strong Buy","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Esab India","Neutral","Buy","Strong Buy","Strong Buy","Strong Buy"
"Apollo Hospitals","Strong Buy","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Supreme Industries","Strong Sell","Strong Sell","Sell","Strong Buy","Strong Buy"
"ICRA","Strong Sell","Strong Sell","Buy","Strong Buy","Strong Buy"
"Hero MotoCorp","Strong Buy","Buy","Neutral","Strong Buy","Strong Buy"
"Britannia Industries","Strong Buy","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Coforge","Strong Buy","Strong Buy","Strong Buy","Strong Buy","Buy"
"LTIMindtree","Strong Buy","Strong Buy","Strong Buy","Strong Buy","Buy"
"Thermax","Strong Buy","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Trent","Strong Buy","Buy","Strong Buy","Strong Buy","Strong Buy"
